Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Germany,DEU,Control of Corruption: Estimate,CC.EST,1.66416621208191
France,FRA,Control of Corruption: Estimate,CC.EST,1.18482184410095
Italy,ITA,Control of Corruption: Estimate,CC.EST,0.550129175186157
Hungary,HUN,Control of Corruption: Estimate,CC.EST,-0.000498130626510829
United Kingdom,GBR,Control of Corruption: Estimate,CC.EST,1.48091387748718
Turkiye,TUR,Control of Corruption: Estimate,CC.EST,-0.50248908996582
Norway,NOR,Control of Corruption: Estimate,CC.EST,2.11352157592773
Poland,POL,Control of Corruption: Estimate,CC.EST,0.565399944782257
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 11/05/2024,,,,
